Dataset Name,Source GitHub Paths,Target Location,File Type,Project,Preprocessing Required,Upload Timestamp,Uploaded to Warhouse ,Deleted From GitHub
DataCleanedRunningData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cycling%20Analysis/data/datacleaned_running_data.csv,dw-silver,CSV,project-3,No,"9/17/2025, 6:49:42 PM",Yes,No
ExtendedActivities.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cycling%20Analysis/data/extended_activities.csv; https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/DataVisualisationPracticeWebDev/data/extended_activities.csv,dw-silver,CSV,project-3,No,"9/17/2025, 6:52:16 PM",Yes,No
ExtendedActivitiesWithFtp.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/DataVisualisationPracticeWebDev/data/extended_activities_with_ftp.csv; https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cycling%20Analysis/data/extended_activities_with_ftp.csv,dw-silver,CSV,project-3,No,"9/17/2025, 6:53:09 PM",Yes,No
ExtendedActivitiesTRI001.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cycling%20Analysis/data/extended_activities_TRI001.csv,dw-silver,CSV,project-3,No,"9/17/2025, 6:53:44 PM",Yes,No
RedbackUser8.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cycling%20Analysis/data/redback_user_8.csv; https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/DataVisualisationPracticeWebDev/data/redback_user_8.csv,dw-silver,CSV,project-3,No,"9/17/2025, 6:56:57 PM",Yes,No
StravaActivities.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cycling%20Analysis/data/strava_activities.csv; http://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/DataVisualisationPracticeWebDev/data/strava_activities.csv,dw-silver,CSV,project-3,No,"9/17/2025, 6:57:54 PM",Yes,No
Activities215078188.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/Working%20File/KG_running_files/activities_215078188.csv,dw-silver,CSV,project-3,No,"9/17/2025, 6:59:38 PM",Yes,No
UpdatedRunning.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/updated_running.csv,dw-silver,CSV,project-3,No,"9/17/2025, 7:00:22 PM",Yes,No
Activities.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/activities.csv,dw-silver,CSV,project-3,No,"9/17/2025, 7:01:07 PM",Yes,No
ActivitiesCleaned.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/activities_cleaned.csv,dw-silver,CSV,project-3,No,"9/17/2025, 7:02:54 PM",Yes,No
WindSummary.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/Wind_Analysis_Dhivyaa/wind_summary.csv,dw-silver,CSV,project-3,No,"9/17/2025, 7:03:40 PM",Yes,No
ExerciseSleepCombined.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/RecoveryTimeEstimator/data/curated/exercise_sleep_combined.csv,dw-silver,CSV,project-3,No,"9/17/2025, 7:04:43 PM",Yes,No
RecoveryTimeReadyForModel.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/RecoveryTimeEstimator/data/curated/recovery_time_ready_for_model.csv,dw-silver,CSV,project-3,No,"9/17/2025, 7:05:37 PM",Yes,No
exercise.json,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/RecoveryTimeEstimator/data/processed/exercise.json,dw-silver,JSON,project-3,No,"9/17/2025, 7:06:01 PM",Yes,No
sleep.json,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Running%20Analysis/RecoveryTimeEstimator/data/processed/sleep.json,dw-silver,JSON,project-3,No,"9/17/2025, 7:08:36 PM",Yes,No
